THSMSTRAKM;KDPTITRAKM;KDJENTRAKM;KDPSTTRKAM;NIMHSTRKAM;SKSEMTRAKM;NLIPSTRAKM;SKSTTTRAKM;NLIPKTRAKM
20132;071079;C;200;201012087;6;0.00;205;3.39
20132;071079;C;200;201012091;12;2.70;131;2.07
20132;071079;C;200;201012094;6;0.00;136;3.59
20132;071079;C;200;201012097;6;0.00;140;3.58
20132;071079;C;200;201012098;6;0.00;144;3.10
20132;071079;C;200;201012113;12;2.70;188;3.14
20132;071079;C;200;201012117;6;0.00;138;3.16
20132;071079;C;200;201012118;6;0.00;138;3.50
20132;071079;C;200;201012131;21;3.30;138;2.96
20132;071079;C;200;201012135;6;0.00;135;3.41
20132;071079;C;200;201012138;6;0.00;138;3.45
20132;071079;C;200;201012139;23;3.15;140;2.87
20132;071079;C;200;201012140;6;0.00;140;3.12
20132;071079;C;200;201012147;6;0.00;145;3.17
20132;071079;C;200;201012150;6;0.00;151;3.66
20132;071079;C;200;201012152;15;3.70;134;3.54
20132;071079;C;200;201012159;6;0.00;140;3.46
20132;071079;C;200;201012163;20;3.70;138;3.15
20132;071079;C;200;201012165;16;2.85;138;3.04
20132;071079;C;200;201012171;8;0.00;267;2.97
20132;071079;C;200;201012180;8;4.00;142;3.44
20132;071079;C;200;201012181;8;4.00;142;3.56
20132;071079;C;200;201012182;6;0.00;142;3.52
20132;071079;C;200;201012183;13;3.82;138;
20132;071079;C;200;201012184;24;4.00;138;3.14
20132;071079;C;200;201012186;14;1.15;147;2.62
20132;071079;C;200;201012187;17;2.53;118;
20132;071079;C;200;201012188;6;0.00;142;3.57
20132;071079;C;200;201012195;6;0.00;142;3.22
20132;071079;C;200;201012196;8;4.00;142;3.56
20132;071079;C;200;201012197;8;4.00;142;3.38
20132;071079;C;200;201012199;8;4.00;142;2.99
20132;071079;C;200;201012200;23;0.82;126;
20132;071079;C;200;201012201;20;1.00;167;2.69
20132;071079;C;200;201012202;10;4.00;138;3.60
20132;071079;C;200;201012204;13;4.00;138;3.24
20132;071079;C;200;201012206;17;2.98;140;2.58
20132;071079;C;200;201012208;6;0.00;140;3.32
20132;071079;C;200;201012213;24;4.00;152;2.82
